document;left context;formula;;;unique;count
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;На прошлой неделе его родители в Крым уехали, вот он и пригласил нас к себе. До экзаменов у тебя десять дней, ты тут отлично подготовишься. 	 Миша, я, пожалуй, выкупаюсь с дороги, ведь речка отсюда недалеко? 	 ;погоди;;;всего уникальных формул: 715;
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Вероятно, со следующим поездом из Москвы приедут мои товарищи. Словом, не обижайся, если они будут шутить на наш с тобой счет. Я им объяснил, что воспитывался в вашей семье и что у нас чисто дружеские отношения, но они как-то несерьезно отнеслись к этой версии. 	 ;ну;;;27.7% всех формул;
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Словом, не обижайся, если они будут шутить на наш с тобой счет. Я им объяснил, что воспитывался в вашей семье и что у нас чисто дружеские отношения, но они как-то несерьезно отнеслись к этой версии. 	 Ну, а сам ты к этой версии относишься серьезно? 	 ;видишь ли;;;ну;206
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Ты лучше всех. Я не видела человека лучше тебя. 	 ;это приятно слышать;;;да;193
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Какой Вася? 	 Хозяин, Васенька. Ведь это Гусевых дача? 	 Это дача Тучковых. 	 ;как же так;;;нет;193
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Ведь это Гусевых дача? 	 Это дача Тучковых. 	 Как же так. И Гусев здесь не обитает? 	 ;увы;;;спасибо;60
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;И Гусев здесь не обитает? 	 Увы. 	 ;так;;;ладно;55
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;(Бежит к калитке, оборачивается.) А чудесно будет после всех пересадок, вокзалов и прочего – бултых в воду! 	 Не думаю, чтобы после Волги наша Клязьма произвела на тебя особенно сильное впечатление. 	 ;авось;;;конечно;52
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;И молчать. И смотреть по сторонам. Тут очень хорошо. На террасе показывается Лаврухин. 	 ;салют;;;хорошо;51
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Шура сегодня с утра в анатомичке, он просто не успел. 	 ;ну конечно;;;все;42
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Олег, мы должны немедленно последовать ее примеру. Возьми полотенце, оно в сумке. Идем, Павлик. 	 ;нет;;;а;33
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Хорошо, что ты приехала. 	 Ого, ты, кажется, действительно взволнован? 	 Есть немного. 	 Очень она красивая? 	 ;не в этом дело;;;так;32
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Так вот почему даже здесь, в Москве, ты работал по ночам, выполняя аптечные заказы. 	 Я был в доме за своего. У калитки появляется Прохожий, шляпа его съехала на затылок, и вообще он чувствует себя значительно веселее. 	 ;виноват;;;не знаю;29
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Вот что: тут есть еще Малая Красная. (Показывает.) Вторая направо, как раз мимо буфета. 	 Мимо буфета? ;годится;;;как;25
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;В калитку входит Ведерников. Он идет к террасе, на ступеньках останавливается, увидев Ольгу. Оба смотрят друг на друга. Вы к Мише? 	 ;да;;;слушаю-с;24
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Летчик? 	 Хорошая профессия – летать куда придется. Сегодня – Японское море, а завтра – небеса Испании. 	 Вы были в Испании? 	 ;кажется;;;может быть;23
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Александр Ведерников, студент медик. Нет, не летчик и в Испании не был. А это моя жена, ее зовут Люся, ей восемнадцать лет, и она работает на телеграфе. Замечательная личность. 	 ;здравствуйте;;;в самом деле;22
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Павлик, тащи сюда стулья. Ведерников подходит к Галине, Люся с террасы наблюдает за ними. Остальные тащат в сад посуду, хлопочут у стола. 	 ;здравствуй;;;ничего;21
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Ну, как живешь? 	 ;спасибо;;;а что;19
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Все куришь? Все дымишь? 	 ;вот именно;;;давай;19
