text;is_formula
я вас слушаю;
давай так;
как ты хочешь;
хватит уже;
не бойся;
не;
этого достаточно;
не знаю;
в этом все дело;
да ничего;
и хватит спорить;
увидишь;
в чем дело;
ты– то как;
ого;
черт;
о чем и речь;
врешь;
наверное;
не надо;
слава богу;
как;
что ж;
здрасте;
черт подери;
здорово;
забавно;
ловко;
ну ты чего;
что такое;
о, господи;
и все;
неправда;
нда;
ну вас на фиг;
понятия не имею;
не смеши меня;
вот значит как;
к чему ты ведешь;
погоди;
именно;
так вот;
как хочешь;
да сколько можно уже;
ну ладно уж;
ну да ладно;
за что же;
непостижимо;
еще чего;
разумеется;
враки;
ты сошел с ума;
вы полагаете;
и все же;
нет-нет;
ну спасибо;
это что;
ладно;
вот погоди;
а, пустяки;
и не надо;
вот тебе и раз;
о чем ты;
ясно;
кажется;
не бойтесь;
да не за что;
упаси бог;
вот и;
так точно;
не надо спешить;
вот видите;
чего ты;
что это;
и верно;
да ладно;
как знаешь;
прошу прощения;
шел бы ты отсюда;
еще раз поздравляю;
хватит валять дурака;
подумать только;
да-да;
эй;
ясненько;
ну что ж;
хватит;
не знаю пока;
вполне понятно;
да пошла ты;
да что ты;
да нет;
так и что;
прости;
да ну тебя;
ей-богу;
наверно;
ну;
годится;
давайте так;
вранье;
отлично;
и довольно;
да-а;
вот и прекрасно;
как сказать;
как вы хотите;
за что;
ну скажи;
оставьте меня в покое;
как же так;
но все-таки;
хорошо;
отвечай;
большое спасибо;
и значит;
та-а-ак;
валяйте;
спасибо за внимание;
слышите;
что еще;
ну хорошо;
увидимся;
видишь ли;
ну так что;
ну понятно;
присаживайся;
как интересно;
ну да;
как хорошо;
господи;
а то;
как хотите;
что здесь происходит;
любопытно;
а теперь;
мне пора;
так;
ну что;
точно;
и не говори;
в чем же дело;
не волнуйтесь;
бред какой-то;
почему нет;
вот и прелесть;
черт возьми;
валяй;
ага;
и расчудесно;
а вот и нет;
к чертям;
вот и всё;
ваша правда;
как еще;
в самом деле;
ну конечно;
ну-у;
что это значит;
в точку;
итак;
а что тут такого;
дело в том;
эй ты;
увидите;
вовсе нет;
а что;
до свидания;
виноват;
иди ты в жопу;
ты что;
вообще-то да;
да, дела;
тихо;
подожди;
а вы как думали;
это еще что такое;
